abbr,name
AL,Alabama
AR,Arkansas
AZ,Arizona Territory 
CA,California
CO,Colorado Territory
CS,Confederate States
CT,Connecticut
DC,District Of Columbia
DE,Delaware
DT,Dakota Territory
FL,Florida
GA,Georgia
IA,Iowa
IL,Illinois
IN,Indiana
KS,Kansas
KY,Kentucky
LA,Louisiana
MA,Massachusetts
MD,Maryland
ME,Maine
MI,Michigan
MN,Minnesota
MO,Missouri
MS,Mississippi
NC,North Carolina
NE,Nebraska Terrritory
NH,New Hampshire
NJ,New Jersey
NM,New Mexico Territory
NV,Nevada
NY,New York
OH,Ohio
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
TN,Tennessee
TX,Texas
UR,Regular Army
US,United States Colored Troops
UT,Utah Territory
UV,Other Volunteers
VA,Virginia
VR,Veteran Reserve
VT,Vermont
WA,Washington Territory
WI,Wisconsin
WV,West Virginia
