battle,spell,start_date,end_date
LA007,1,1863-4-14,1863-4-14
VA097,1,1865-4-9,1865-4-9
VA102,1,1862-5-8,1862-5-8
VA015,1,1862-6-25,1862-6-25
AR008,1,1863-7-4,1863-7-4
LA003,1,1862-8-5,1862-8-6
VA116,1,1864-7-24,1864-7-24
MO018,1,1863-1-8,1863-1-8
NC002,1,1862-2-7,1862-2-8
ND001,1,1863-7-24,1863-7-25
DC001,1,1864-7-11,1864-7-12
SC009,1,1863-8-22,1863-8-23
SC009,2,1863-9-5,1863-9-8
VA121,1,1864-10-9,1864-10-9
LA009,1,1863-5-21,1863-5-21
GA022,1,1864-8-31,1864-9-1
ND004,1,1863-9-3,1863-9-5
MO003,1,1861-9-17,1861-9-17
FL003,1,1862-10-1,1862-10-3
VA091,1,1865-4-5,1865-4-5
VA027,1,1862-9-1,1862-9-1
MO008,1,1861-10-25,1861-10-25
GA009,1,1864-5-17,1864-5-17
KS003,1,1864-10-25,1864-10-25
TN002,1,1862-2-11,1862-2-16
TN026,1,1863-12-14,1863-12-14
OH001,1,1863-7-19,1863-7-19
VA075,1,1864-9-29,1864-9-30
VA115,1,1864-7-20,1864-7-20
SC001,1,1861-4-12,1861-4-14
KY009,1,1862-10-8,1862-10-8
NC005,1,1862-4-19,1862-4-19
VA029,1,1863-3-17,1863-3-17
VA026,1,1862-8-28,1862-8-30
VA070,1,1864-7-30,1864-7-30
KS002,1,1863-10-6,1863-10-6
WV008,1,1861-12-13,1861-12-13
AL006,1,1865-4-2,1865-4-9
KY006,1,1862-1-19,1862-1-19
VA008,1,1862-3-8,1862-3-9
VA039,1,1863-10-13,1863-10-13
AL004,1,1864-10-26,1864-10-29
TX006,1,1863-9-8,1863-9-8
MS004,1,1863-4-29,1863-4-29
AR014,1,1864-4-18,1864-4-18
VA108,1,1863-7-23,1863-7-23
TN033,1,1864-11-11,1864-11-13
MO015,1,1862-8-15,1862-8-16
MO004,1,1861-8-10,1861-8-10
VA082,1,1864-12-20,1864-12-21
VA056,1,1864-5-24,1864-5-24
NC001,1,1861-8-28,1861-8-29
VA017,1,1862-6-27,1862-6-27
VA036,1,1863-6-17,1863-6-17
MD003,1,1862-9-16,1862-9-18
MO002,1,1861-7-5,1861-7-5
MD004,1,1863-7-6,1863-7-16
LA011,1,1863-6-7,1863-6-7
VA010,1,1862-5-5,1862-5-5
KY004,1,1861-12-17,1861-12-17
VA086,1,1865-3-31,1865-3-31
AR017,1,1864-6-6,1864-6-6
GA005,1,1863-11-27,1863-11-27
TN019,1,1863-9-22,1863-9-22
MO025,1,1864-10-22,1864-10-22
VA125,1,1864-3-2,1864-3-2
GA023,1,1864-10-5,1864-10-5
TX001,1,1862-9-24,1862-9-25
FL002,1,1862-6-30,1862-7-1
VA119,1,1864-9-19,1864-9-19
KS004,1,1864-10-25,1864-10-25
GA007,1,1864-5-7,1864-5-13
VA071,1,1864-8-13,1864-8-20
VA110,1,1864-5-15,1864-5-15
GA014,1,1864-6-22,1864-6-22
MO005,1,1861-9-2,1861-9-2
TN025,1,1863-11-29,1863-11-29
VA022,1,1862-8-9,1862-8-9
LA013,1,1863-6-28,1863-6-28
MS015,1,1864-7-14,1864-7-15
TN027,1,1863-12-29,1863-12-29
VA076,1,1864-10-2,1864-10-2
WV010,1,1862-9-12,1862-9-15
VA007,1,1861-12-20,1861-12-20
AR013,1,1864-4-9,1864-4-13
TN031,1,1864-8-21,1864-8-21
ND005,1,1864-7-28,1864-7-29
VA078,1,1864-10-13,1864-10-13
WV009,1,1862-5-15,1862-5-17
NC017,1,1865-3-7,1865-3-10
MS005,1,1863-4-29,1863-5-1
MD007,1,1864-7-9,1864-7-9
MO027,1,1864-10-23,1864-10-23
TN007,1,1862-10-5,1862-10-5
VA025,1,1862-8-28,1862-8-28
MS011,1,1863-5-18,1863-7-4
SC003,1,1862-6-21,1862-6-21
TN020,1,1863-10-10,1863-10-10
VA031,1,1863-4-11,1863-5-4
GA011,1,1864-5-26,1864-6-1
SC011,1,1865-2-2,1865-2-3
FL005,1,1864-2-20,1864-2-20
MS012,1,1864-2-13,1864-2-15
VA034,1,1863-5-3,1863-5-3
LA018,1,1864-4-8,1864-4-8
VA080,1,1864-10-27,1864-10-28
MO026,1,1864-10-22,1864-10-22
MO029,1,1864-10-28,1864-10-28
GA016,1,1864-7-20,1864-7-20
MO012,1,1862-2-28,1862-4-8
MO024,1,1864-10-21,1864-10-21
VA067,1,1864-6-28,1864-6-28
VA113,1,1864-6-25,1864-6-25
AR001,1,1862-3-6,1862-3-8
VA045,1,1864-2-6,1864-2-7
TN037,1,1864-12-5,1864-12-7
VA089,1,1865-4-2,1865-4-2
VA085,1,1865-3-29,1865-3-29
MS007,1,1863-5-12,1863-5-12
NC009,1,1862-12-17,1862-12-17
VA038,1,1863-6-21,1863-6-21
VA012,1,1862-5-15,1862-5-15
VA079,1,1864-10-27,1864-10-28
LA017,1,1864-3-14,1864-3-14
VA081,1,1864-12-17,1864-12-18
NC018,1,1865-3-10,1865-3-10
VA104,1,1862-5-25,1862-5-25
GA028,1,1864-12-13,1864-12-13
VA072,1,1864-8-18,1864-8-21
LA004,1,1862-8-9,1862-8-9
OK001,1,1861-11-19,1861-11-19
MO028,1,1864-10-25,1864-10-25
TN036,1,1864-11-30,1864-11-30
VA087,1,1865-3-31,1865-3-31
LA010,1,1863-5-22,1863-7-9
NC016,1,1865-2-12,1865-2-22
TN003,1,1862-4-6,1862-4-7
AR002,1,1862-6-17,1862-6-17
GA013,1,1864-6-9,1864-7-9
OK004,1,1862-10-22,1862-10-22
VA064,1,1864-6-17,1864-6-18
TX003,1,1863-1-1,1863-1-1
NC011,1,1863-3-30,1863-4-20
FL006,1,1865-3-6,1865-3-6
NM001,1,1862-2-20,1862-2-21
AL002,1,1864-9-23,1864-9-25
