abbrev	meaning	note
1st Lt.	First Lieutenant
1st Sgt.	First Sergeant
2.d Lt.	Second Lieutenant
3d Lt.	Third Lieutenant	prewar grade
ACSA	Army of the Confederate States of America (Regular Army)
ad int.	ad interim
Ad.	Atlantic
ADC aide-de-camp
addnl.	additional
Adj. Gen.	Adjutant General
Adm.	admiral
Ak.	Alaska
Ala.	Alabama
Apr.	April
Ariz.	Arizona
Ark.	Arkansas
art.	artillery
arts.	artificers
asgd.	assigned
asgmt.	assignment
asst.	assistant
Asst. Adj. Gen.	Assistant Adjutant General
Asst. Comm. Gen. Sub.	Assistant Commissary General of Subsistence
Asst. Comm. Sub.	Assistant Commissary of Subsistence
Asst. Insp. Gen.	Assistant Inspector General
Asst. Judge Adv.	Assistant Judge Advocate
Asst. Judge Adv. Gen.	Assistant Judge Advocate General
Asst. Med. Pur.	Assistant Medical Purveyor
Asst. Nav. C.	Assistant Naval Constructor
Asst. Pay. M.	Assistant Paymaster
Asst. Pay. M. Gen.	Assistant Paymaster General
Asst. Prov. Mar. Gen.	Assistant Provost Marshal General
Asst. Q.M.	Assistant Quartermaster
Asst. Q.M. Gen.	Assistant Quartermaster General Confed. Confederate
Asst. Surg.	Assistant Surgeon
Asst. Surg. Gen.	Assistant Surgeon General
Atty. Gen.	Attorney General
Aug.	August
AWOL	absent without leave/deserted
B	brigade
b.	born
batn.	battalion
block. squad	blockading squadron
bpi.	birthplace
BRFAL	Bureau of Refugees, Freedmen, and Abandoned Lands
Brig. Gen.	Brigadier General
btry.	battery
Bvt.	brevet
c.	captured
C. in C.	Commander-in-Chief
C. of S.	chief of staff
C.J.	chief justice
c.o.	commanding officer
C.S.	Confederate States
C.S.A.	Confederate States Army
C.S.A.	Confederate States of America
C.S.N.	Confederate States Navy
ca.	circa
Cadet	Cadet USMA
Calif.	California
Capt.	Captain
cav.	cavalry
cdg.	commanding
Chap.	chaplain
chmn.	chairman
cmd.	command
cmdg.	commanding
Co.	company
Col.	Colonel
Colo.	Colorado
Comdr.	Commander
comdt.	commandant
Comm.	Commodore
Comm. Gen. Sub.	Commissary General of Subsistence
comr.	commissioner
cong.	congress
Conn.	Connecticut
cont.	congressional
Cpl.	corporal
css	Confederate States Ship
D	division
d.	day
d.	died
D.C.	District of Columbia
D.D.	Doctor of Divinity
Dec.	December
Del.	Delaware
Dep. Comm. Gen. Sub.	Deputy Commissary General of Subsistence
Dep. Pay. M. Gen.	Deputy Paymaster General
Maj. Gen.	Major General
Dep. Prov. M. Gen.	Deputy Provost Marshal General
Dep. Q.M. Gen.	Deputy Quartermaster General
dept.	department
dis.	discharged	honorably
disch.	discharged	honorably
dist.	district
doc.	document
drgs.	dragoons
e.g.	exempli gratia
ed.	editor
educ.	educated
educ.	education
engr.	engineer
engr.	engineers
Ens.	Ensign	Navy
Ensign	Ensign	prewar army grade
Episc.	Episcopal
exch.	exchange
exch.	exchanged
exec.	executive
exp.	expired
Feb.	February
Fla.	Florida
flot. flotilla
Fri.	Friday
G.A.R.	Grand Army of the Republic
G.H.Q.	general headquarters
G.O.	general order
Ga.	Georgia
Gen.	General
General Comm. Sub.	Commissary of Subsistence
Gov.	Governor
govt.	government
H.Art.	heavy artillery
H.Q.	headquarters
H.R.	House Resolution
i.e.	id est
Ill.	Illinois
Ind.	Indiana
inf.	infantry
Insp. Gen.	Inspector General
int.	interment
int.	interred
Jan.	January
Jr.	Junior
Judge Adv.	Judge Advocate
Judge Adv. Gen.	Judge Advocate General
k.	killed
Kans.	Kansas
KIA	killed in action Pac. Pacific
Ky.	Kentucky
L. Art.	light artillery
La.	Louisiana
Lt.	Lieutenant
Lt. (jg)	Lieutenant, junior grade
Lt. Col.	Lieutenant Colonel
Lt. Comdr.	Lieutenant Commander
Lt. Gen.	Lieutenant General
Lt. Gov.	Lieutenant Governor
m.	missing	often incl. captured, deserted, and/or stragglers
m.	month
M.C.	Member of Congress
M.Comdt.	Master Commandant
Maj.	Major
Mar.	March
Mass.	Massachusetts
Md.	Maryland
Me.	Maine
med.	corps
Med. Dir.	Medical Director
Med. Insp. Gen.	Medical Inspector General
medical	corps
Mex.	Mexico
mgr.	manager
Mich.	Michigan
Midn.	Midshipman
mil. secy.	military secretary
Minn.	Minnesota
Miss.	Mississippi
Mo.	Missouri
MOLLUS	Military Order of the Loyal Legion of the United States
Mon.	Monday
Mont.	Montana
MOV	(honorably) mustered out of volunteers
Mtd. Rif.	mounted rifles
Mtr.	Master
mw.	mortally wounded
N.C.	North Carolina
N.Dak.	North Dakota
N.H.	New Hampshire
N.J.	New Jersey
N.Mex.	New Mexico
N.Y.	New York
Nav. C.	Naval Constructor
NCSA	Navy of the Confederate States of America
Nebr.	Nebraska
Nev.	Nevada
no.	number
Nov.	November
Oct.	October
Okla.	Oklahoma
ord.	ordnance
Ord. Sgt.	Ordnance Sergeant
Ore.	Oregon
Pa.	Pennsylvania
Pass. Midn.	Passed Midshipman
Pay. M. Gen.	Paymaster General
Pay.M.	Paymaster
POW	prisoner of war
Pres.	President
Presb.	Presbyterian
prof.	Professor
Prot.	Protestant
prov.	provisional
Prov. Mar.	Provost Marshal
Prov. Mar. Gen.	Provost Marshal General
Pvt.	Private
Q.M.	Quartermaster
Q.M.Gen.	Quartermaster General
Q.M.Sgt. Quartermaster Sergeant
